player_name,position,goals,assists,shots,xG,xA,time,h_team,a_team,h_goals,a_goals,key_passes
Jordan Henderson 605,MC,0,0,1,0.0173451993614435,0.0560433007776737,90,Liverpool,Arsenal,3,3,1
Marc Albrighton 753,ML,0,0,0,0.0,0.0744223967194557,90,Tottenham,Leicester,0,1,1
N&#039;Golo Kanté 751,MC,0,0,1,0.0727529972791671,0.0,90,Tottenham,Leicester,0,1,0
Riyad Mahrez 750,MR,0,0,1,0.0744223967194557,0.0,90,Tottenham,Leicester,0,1,0
James McArthur 633,MC,0,0,0,0.0,0.0526378005743026,81,Manchester City,Crystal Palace,4,0,2
Kevin De Bruyne 447,MR,0,1,0,0.0,0.682453989982605,90,Manchester City,Crystal Palace,4,0,3
Wilfried Zaha 522,MR,0,0,0,0.0,0.0401892997324466,86,Manchester City,Crystal Palace,4,0,1
Cheikhou Kouyaté 532,MC,0,0,3,0.334648996591568,0.0,90,Newcastle United,West Ham,2,1,0
Cédric Soares 847,MR,0,0,1,0.0365037992596626,0.0944001972675323,85,Southampton,West Bromwich Albion,3,0,1
James Ward-Prowse 843,MC,2,0,2,0.8016170263290405,0.0,90,Southampton,West Bromwich Albion,3,0,0
Matt Targett 884,ML,0,0,1,0.0967499017715454,0.0395935997366905,90,Southampton,West Bromwich Albion,3,0,1
Junior Stanislas 463,MR,0,0,3,0.1289329975843429,0.074484996497631,90,Bournemouth,Norwich,3,0,3
Idrissa Gueye 668,MC,0,0,3,0.0661681964993476,0.0,90,Aston Villa,Leicester,1,1,0
Marc Albrighton 753,ML,0,0,3,0.0726516023278236,0.0202268008142709,87,Aston Villa,Leicester,1,1,1
N&#039;Golo Kanté 751,MC,0,0,0,0.0,0.0,90,Aston Villa,Leicester,1,1,0
Riyad Mahrez 750,MR,0,0,2,0.9073449969291688,0.0,71,Aston Villa,Leicester,1,1,0
Jordan Henderson 605,MC,0,0,5,0.2586190104484558,0.0,90,Liverpool,Manchester United,0,1,0
Jordan Henderson 605,MC,1,0,2,0.1425160020589828,0.0,78,Norwich,Liverpool,4,5,0
Nathan Redmond 790,MR,0,0,0,0.0,0.0277187991887331,72,Norwich,Liverpool,4,5,1
Wilfried Zaha 522,MR,0,0,2,0.1283099949359893,0.1126649975776672,90,Crystal Palace,Tottenham,1,3,1
Cédric Soares 847,MR,0,0,1,0.0187174994498491,0.0,90,Manchester United,Southampton,0,1,0
Jesse Lingard 558,MR,0,0,1,0.0232983995229005,0.0,90,Manchester United,Southampton,0,1,0
Matt Targett 884,ML,0,0,0,0.0,0.0,90,Manchester United,Southampton,0,1,0
Marc Albrighton 753,ML,0,0,2,0.0656049028038978,0.0838344991207122,90,Leicester,Stoke,3,0,2
N&#039;Golo Kanté 751,MC,0,0,1,0.0142037998884916,0.1379429996013641,90,Leicester,Stoke,3,0,1
Riyad Mahrez 750,MR,0,1,2,0.4451949894428253,0.6166269779205322,90,Leicester,Stoke,3,0,1
Idrissa Gueye 668,MC,0,0,1,0.0150485998019576,0.0247620996087789,90,West Bromwich Albion,Aston Villa,0,0,1
Junior Stanislas 463,MR,0,1,3,0.2060959935188293,0.8030200004577637,90,Sunderland,Bournemouth,1,1,6
Jonjo Shelvey 769,MC,0,1,0,0.0,0.2308000028133392,90,Watford,Newcastle United,2,1,4
Cheikhou Kouyaté 532,MC,0,0,1,0.1135329976677894,0.0843880996108055,90,West Ham,Manchester City,2,2,1
Marc Albrighton 753,ML,0,0,0,0.0,0.0,80,Leicester,Liverpool,2,0,0
N&#039;Golo Kanté 751,MC,0,0,0,0.0,0.0,90,Leicester,Liverpool,2,0,0
Riyad Mahrez 750,MR,0,1,5,0.1428599953651428,0.0165225993841886,90,Leicester,Liverpool,2,0,1
Cheikhou Kouyaté 532,MC,1,0,6,0.7470980286598206,0.0,90,West Ham,Aston Villa,2,0,0
Idrissa Gueye 668,MC,0,0,2,0.0332031995058059,0.0516464002430439,90,West Ham,Aston Villa,2,0,2
Matt Ritchie 461,MR,0,0,3,0.15625,0.0380392000079155,87,Crystal Palace,Bournemouth,1,2,1
Marc Albrighton 753,ML,0,0,1,0.0157717000693082,0.5588020086288452,88,Manchester City,Leicester,1,3,3
N&#039;Golo Kanté 751,MC,0,1,0,0.0,0.1170620024204254,90,Manchester City,Leicester,1,3,1
